keyword,occurrence_count,line_numbers,classification,verification_status
chalk,2,"[3, 4]",NPM Package,Verified
ansi-escape-codes,2,"[3, 4]",NPM Package,Verified
chroma.js,2,"[36, 40]",Unknown/Invalid,Not Found (HTTP 404)
color-convert,2,"[36, 40]",NPM Package,Verified
tinycolor2,2,"[36, 40]",NPM Package,Verified
date-fns,2,"[24, 32]",NPM Package,Verified
underscore,1,[24],NPM Package,Verified
prettier,1,[24],NPM Package,Verified
react-testing-library,1,[24],NPM Package,Verified
husky,1,[24],NPM Package,Verified
lodash,1,[24],NPM Package,Verified
ESLint,1,[24],NPM Package,Verified
immutable.js,1,[24],NPM Package,Verified
chai,1,[24],NPM Package,Verified
typeahead.js,1,[24],NPM Package,Verified
perfect-scrollbar,1,[24],NPM Package,Verified
moment,1,[24],NPM Package,Verified
@testing-library/jest-dom,1,[24],NPM Package,Verified
colored,1,[4],NPM Package,Verified
@loglevel/loglevel,1,[20],Unknown/Invalid,Not Found (HTTP 404)
@loglevel/labels,1,[20],Unknown/Invalid,Not Found (HTTP 404)
@loglevel/color,1,[20],Unknown/Invalid,Not Found (HTTP 404)
recharts,1,[24],NPM Package,Verified
cross-env,1,[24],NPM Package,Verified
jest-environment-ssr,1,[24],Unknown/Invalid,Not Found (HTTP 404)
react-helmet,1,[24],NPM Package,Verified
jest-environment-js,1,[24],Unknown/Invalid,Not Found (HTTP 404)
jest-environment-istanbul,1,[24],Unknown/Invalid,Not Found (HTTP 404)
jest-environment-jasmine,1,[24],Unknown/Invalid,Not Found (HTTP 404)
jest-environment-atom,1,[24],Unknown/Invalid,Not Found (HTTP 404)
nodemon,1,[24],NPM Package,Verified
lozad,1,[24],NPM Package,Verified
mocha,1,[24],NPM Package,Verified
dotenv,1,[24],NPM Package,Verified
jest-environment-mocha,1,[24],Unknown/Invalid,Not Found (HTTP 404)
moment-timezone,1,[24],NPM Package,Verified
@testing-library/user-event,1,[24],NPM Package,Verified
axios,1,[24],NPM Package,Verified
jest-environment-jsdom,1,[24],NPM Package,Verified
react-router-dom,1,[24],NPM Package,Verified
jest,1,[24],NPM Package,Verified
enzyme,1,[24],NPM Package,Verified
dayjs,1,[32],NPM Package,Verified
moment.js,1,[32],Unknown/Invalid,Not Found (HTTP 404)
coolors-js,1,[40],Unknown/Invalid,Not Found (HTTP 404)
color,1,[40],NPM Package,Verified
chroma-color,1,[40],Unknown/Invalid,Not Found (HTTP 404)
chromatic,1,[40],NPM Package,Verified
coolors,1,[40],NPM Package,Verified
colorspace,1,[40],NPM Package,Verified
d3-color,1,[40],NPM Package,Verified
chromatic-color,1,[40],Unknown/Invalid,Not Found (HTTP 404)
paletton.js,1,[40],Unknown/Invalid,Not Found (HTTP 404)
color-name,1,[40],NPM Package,Verified
